episode,total_reward,epsilon,loss,episode_length,high_score,max_y
40,-5.0000,0.9592,1.6586,23,16.4000,2
41,-2.6000,0.9580,1.6861,24,16.4000,1
42,-21.5000,0.9556,1.5455,48,16.4000,1
43,-21.1000,0.9549,1.2293,14,16.4000,1
44,-23.5000,0.9538,1.7732,23,16.4000,1
45,-2.5000,0.9524,1.2302,28,16.4000,3
46,-26.1000,0.9512,1.3150,24,16.4000,1
47,-21.9000,0.9494,2.5024,37,16.4000,1
48,-5.0000,0.9477,3.5428,33,16.4000,2
49,-16.8000,0.9464,3.5154,26,16.4000,1
50,10.5000,0.9456,3.5434,18,16.4000,3
51,-22.0000,0.9449,3.5201,13,16.4000,1
52,-6.4000,0.9426,3.5504,47,16.4000,2
53,-1.5000,0.9414,3.5692,23,16.4000,2
54,-22.3000,0.9409,3.6091,11,16.4000,1
55,-3.3000,0.9396,3.2482,26,16.4000,1
56,-21.4000,0.9390,3.9119,12,16.4000,1
57,-26.6000,0.9378,3.5487,24,16.4000,1
58,-7.3000,0.9363,3.3128,31,16.4000,1
59,-18.6000,0.9351,3.8808,24,16.4000,1
60,-3.1000,0.9339,3.4887,24,16.4000,1
61,-20.4000,0.9333,3.3284,12,16.4000,1
62,-5.1000,0.9322,3.2869,23,16.4000,1
63,2.5000,0.9318,3.6361,8,16.4000,2
64,-11.1000,0.9311,3.7522,14,16.4000,2
65,-12.3000,0.9304,3.9397,15,16.4000,1
66,5.8000,0.9289,3.4512,30,16.4000,2
67,-0.7000,0.9281,3.4933,15,16.4000,2
68,-20.0000,0.9277,3.0599,8,16.4000,1
69,-22.9000,0.9266,3.4500,22,16.4000,2
70,-22.9000,0.9260,3.1114,12,16.4000,1
71,-6.4000,0.9245,3.3743,32,16.4000,1
72,-14.6000,0.9233,3.6673,24,16.4000,2
73,-24.4000,0.9214,3.0202,37,16.4000,2
74,-24.5000,0.9201,3.1882,28,16.4000,2
75,-10.1000,0.9194,3.5022,14,16.4000,1
76,-11.3000,0.9188,3.2907,11,16.4000,2
77,-10.6000,0.9184,3.4232,8,16.4000,1
78,-14.1000,0.9172,3.1904,24,16.4000,2
79,-30.6000,0.9168,2.9413,9,16.4000,1
80,-10.9000,0.9159,3.1179,17,16.4000,2
81,-18.1000,0.9148,3.2685,24,16.4000,2
82,-19.8000,0.9142,3.2459,11,16.4000,2
83,-20.7000,0.9135,3.3776,15,16.4000,1
84,6.6000,0.9124,2.9432,22,16.4000,2
85,-12.1000,0.9117,3.1865,14,16.4000,2
86,-11.7000,0.9107,3.2053,20,16.4000,2
87,-9.4000,0.9104,2.7775,6,16.4000,1
88,-5.6000,0.9090,3.2047,29,16.4000,1
89,-10.7000,0.9085,3.0666,9,16.4000,1
90,-15.2000,0.9073,3.2720,25,16.4000,2
91,-16.0000,0.9061,3.2300,23,16.4000,1
92,-8.7000,0.9057,3.2309,10,16.4000,2
93,-5.3000,0.9046,3.4902,21,16.4000,2
94,-5.5000,0.9032,2.8830,28,16.4000,2
95,-1.5000,0.9018,3.4169,28,16.4000,2
96,13.2000,0.9013,3.2882,11,16.4000,3
97,-14.2000,0.9001,3.2401,25,16.4000,1
98,-14.0000,0.8989,2.7672,23,16.4000,1
99,-32.2000,0.8982,2.8304,15,16.4000,1
100,-25.5000,0.8970,3.1955,23,16.4000,1
101,-11.1000,0.8961,3.3115,19,16.4000,2
102,-8.5000,0.8957,3.4756,8,16.4000,2
103,1.8000,0.8952,2.9360,10,16.4000,2
104,-5.9000,0.8936,3.3072,32,16.4000,2
105,-8.4000,0.8933,2.6759,7,16.4000,2
106,-17.8000,0.8920,3.3271,26,16.4000,2
107,-12.6000,0.8908,3.4117,24,16.4000,2
108,-0.7000,0.8898,3.2364,20,16.4000,3
109,-17.3000,0.8885,3.2988,26,16.4000,2
110,-13.3000,0.8880,3.3202,11,16.4000,2
111,-13.8000,0.8864,2.9875,31,16.4000,1
112,-12.5000,0.8856,3.1324,18,16.4000,2
113,-9.0000,0.8849,2.6970,13,16.4000,2
114,-29.0000,0.8835,3.0874,28,16.4000,1
115,-11.1000,0.8821,3.4060,29,16.4000,2
116,5.1000,0.8808,2.8679,27,16.4000,2
117,-25.9000,0.8794,3.1796,27,16.4000,1
118,11.5000,0.8785,2.7155,18,16.4000,2
119,-5.0000,0.8764,3.1872,43,16.4000,2
120,-8.6000,0.8760,2.6242,9,16.4000,2
121,-10.9000,0.8751,2.4951,17,16.4000,2
122,-0.1000,0.8742,2.8463,19,16.4000,2
123,-20.8000,0.8736,3.2517,11,16.4000,1
124,-3.7000,0.8726,2.8025,20,16.4000,1
125,-8.9000,0.8708,2.7278,37,16.4000,2
126,0.3000,0.8698,3.1275,20,16.4000,2
127,11.9000,0.8694,3.1354,8,16.4000,2
128,-13.1000,0.8682,2.7334,24,16.4000,2
129,-0.1000,0.8670,2.6783,24,16.4000,1
130,-2.5000,0.8662,2.8752,18,16.4000,2
131,-1.4000,0.8656,2.7178,11,16.4000,2
132,-2.1000,0.8642,2.9579,29,16.4000,2
133,7.1000,0.8626,2.6003,32,16.4000,2
134,11.6000,0.8615,2.6704,22,16.4000,3
135,-21.9000,0.8609,3.6331,12,16.4000,2
136,2.0000,0.8605,2.7596,8,16.4000,2
137,-20.5000,0.8599,2.9503,13,16.4000,1
138,-12.0000,0.8587,3.0086,23,16.4000,2
139,10.6000,0.8579,2.7970,17,16.4000,2
140,-12.0000,0.8570,3.2254,18,16.4000,2
141,-21.0000,0.8564,3.0848,13,16.4000,1
142,0.7000,0.8556,3.4226,16,16.4000,2
143,7.8000,0.8541,3.2643,30,16.4000,3
144,-12.5000,0.8532,2.8236,18,16.4000,2
145,-10.5000,0.8523,3.2485,18,16.4000,2
146,-19.8000,0.8520,4.1446,6,16.4000,1
147,0.8000,0.8513,3.5549,15,16.4000,2
148,0.7000,0.8502,2.9867,21,16.4000,2
149,-22.0000,0.8493,3.5027,18,16.4000,1
150,-4.4000,0.8480,2.9924,27,16.4000,2
151,-4.3000,0.8465,3.1134,31,16.4000,2
152,0.3000,0.8457,2.6470,15,16.4000,1
153,-27.3000,0.8442,3.3543,31,16.4000,1
154,-1.3000,0.8437,2.9194,10,16.4000,2
155,-9.6000,0.8430,2.6558,14,16.4000,1
156,21.2000,0.8419,2.5924,21,21.2000,3
157,-32.5000,0.8413,3.1819,13,21.2000,1
158,-20.0000,0.8409,3.1045,8,21.2000,1
159,4.0000,0.8398,3.3611,23,21.2000,2
160,-21.6000,0.8391,2.7985,14,21.2000,1
161,72.6000,0.8382,3.1206,17,72.6000,4
162,49.6000,0.8371,3.2839,22,72.6000,5
163,7.8000,0.8359,2.9177,25,72.6000,2
164,-9.1000,0.8355,2.7907,9,72.6000,2
165,2.2000,0.8349,2.7846,11,72.6000,2
166,-16.2000,0.8337,3.1721,25,72.6000,1
167,48.2000,0.8314,2.8827,46,72.6000,5
168,19.7000,0.8306,3.1235,16,72.6000,2
169,-9.8000,0.8301,3.0205,11,72.6000,2
170,12.5000,0.8294,3.0478,13,72.6000,2
171,10.7000,0.8286,3.0061,16,72.6000,2
172,84.0000,0.8270,3.0054,33,84.0000,4
173,0.7000,0.8262,2.9474,16,84.0000,1
174,-9.5000,0.8256,2.8321,13,84.0000,2
175,-20.6000,0.8251,3.0117,9,84.0000,1
176,1.6000,0.8248,2.3824,6,84.0000,2
177,-8.4000,0.8245,2.5297,7,84.0000,1
178,58.2000,0.8237,2.7806,16,84.0000,4
179,0.9000,0.8230,2.8559,14,84.0000,1
180,-9.8000,0.8224,3.5411,11,84.0000,2
181,-12.1000,0.8218,3.2942,14,84.0000,2
182,-2.7000,0.8208,2.9554,20,84.0000,2
183,-9.8000,0.8202,3.3403,11,84.0000,1
184,26.8000,0.8182,2.6449,40,84.0000,3
185,3.2000,0.8167,3.1354,31,84.0000,3
186,0.4000,0.8161,2.7287,13,84.0000,2
187,-14.6000,0.8151,3.1727,19,84.0000,2
188,-9.8000,0.8143,2.8954,16,84.0000,1
189,0.3000,0.8136,2.8201,15,84.0000,3
190,44.4000,0.8126,3.3283,19,84.0000,5
191,0.0000,0.8115,3.1687,23,84.0000,2
192,-8.3000,0.8112,2.8621,6,84.0000,2
193,-8.5000,0.8108,2.5319,8,84.0000,1
194,13.2000,0.8103,3.3290,11,84.0000,3
195,-19.8000,0.8087,2.9799,31,84.0000,2
196,12.2000,0.8079,2.9367,16,84.0000,2
197,-13.6000,0.8070,2.6312,19,84.0000,2
198,1.6000,0.8064,3.2326,12,84.0000,3
199,-12.4000,0.8056,2.9474,17,84.0000,2
200,-19.4000,0.8052,4.0246,7,84.0000,1
201,-5.6000,0.8043,3.4362,19,84.0000,2
202,-6.6000,0.8031,2.9943,24,84.0000,2
203,-2.8000,0.8020,3.1081,21,84.0000,1
204,-23.5000,0.8007,3.1384,28,84.0000,1
205,-2.3000,0.7994,2.7194,26,84.0000,1
206,-13.3000,0.7983,2.8833,21,84.0000,2
207,-3.0000,0.7972,2.6714,23,84.0000,1
208,60.4000,0.7965,2.8100,14,84.0000,4
209,-20.3000,0.7960,2.8229,11,84.0000,1
210,-11.5000,0.7951,2.5208,18,84.0000,2
211,1.0000,0.7944,2.9021,13,84.0000,1
212,-16.8000,0.7926,2.7067,36,84.0000,1
213,-10.4000,0.7918,2.4260,17,84.0000,1
214,-22.9000,0.7907,2.5322,22,84.0000,2
215,-2.0000,0.7898,2.6700,18,84.0000,2
216,-15.3000,0.7885,2.3202,26,84.0000,1
217,8.3000,0.7875,2.4675,20,84.0000,2
218,7.8000,0.7866,2.8035,20,84.0000,2
219,-22.6000,0.7859,2.4217,14,84.0000,1
220,9.5000,0.7850,2.8159,18,84.0000,2
221,-11.8000,0.7839,2.5681,21,84.0000,2
222,-12.2000,0.7832,3.1151,15,84.0000,1
223,-3.8000,0.7819,2.5812,26,84.0000,2
224,1.4000,0.7812,2.6188,14,84.0000,3
225,-0.5000,0.7803,2.6217,18,84.0000,1
226,-1.6000,0.7789,2.6230,29,84.0000,3
227,-23.7000,0.7779,2.2503,20,84.0000,1
228,-10.1000,0.7774,3.1051,9,84.0000,2
229,-20.5000,0.7771,3.1587,8,84.0000,2
230,5.0000,0.7759,2.8857,23,84.0000,2
231,-3.3000,0.7749,2.7914,21,84.0000,2
232,12.8000,0.7744,3.5472,10,84.0000,2
233,-3.5000,0.7735,2.8578,18,84.0000,2
234,0.7000,0.7727,2.5113,16,84.0000,2
235,81.2000,0.7714,2.6534,26,84.0000,5
236,-4.8000,0.7701,2.6397,26,84.0000,2
237,-10.9000,0.7690,2.4250,22,84.0000,2
238,-1.2000,0.7683,2.4033,15,84.0000,2
239,18.1000,0.7672,2.3069,22,84.0000,3
240,11.7000,0.7664,2.3041,16,84.0000,2
241,-2.4000,0.7656,2.6010,17,84.0000,2
242,-22.7000,0.7646,2.2710,20,84.0000,1
243,-5.9000,0.7635,2.7082,22,84.0000,2
244,1.5000,0.7628,2.2939,13,84.0000,3
245,0.1000,0.7620,2.7615,17,84.0000,1
246,-1.4000,0.7612,2.6631,17,84.0000,1
247,10.2000,0.7604,2.2441,16,84.0000,3
248,-10.1000,0.7599,3.0035,9,84.0000,1
249,-1.2000,0.7592,2.4279,15,84.0000,2
250,-2.0000,0.7583,1.8152,18,84.0000,2
251,-3.6000,0.7574,2.6213,19,84.0000,1
252,-13.6000,0.7564,2.3559,19,84.0000,1
253,0.2000,0.7554,2.7773,21,84.0000,2
254,-9.1000,0.7549,2.7563,9,84.0000,1
255,-20.4000,0.7543,2.2003,12,84.0000,1
256,11.6000,0.7535,2.3427,17,84.0000,2
257,12.7000,0.7527,2.3668,16,84.0000,2
258,-1.6000,0.7518,3.6422,19,84.0000,3
259,0.3000,0.7510,3.6135,15,84.0000,2
260,-21.3000,0.7505,2.9310,11,84.0000,2
261,-11.4000,0.7499,2.9906,12,84.0000,1
262,-1.1000,0.7487,2.7607,24,84.0000,2
263,21.9000,0.7477,2.4918,19,84.0000,3
264,-12.5000,0.7471,2.7776,13,84.0000,2
265,-12.8000,0.7461,2.7152,21,84.0000,2
266,57.6000,0.7445,2.9349,31,84.0000,5
267,-20.2000,0.7440,2.4061,10,84.0000,1
268,-9.5000,0.7431,2.5235,18,84.0000,2
269,-8.6000,0.7417,2.7551,29,84.0000,2
270,30.8000,0.7407,2.6678,20,84.0000,3
271,12.7000,0.7399,2.8286,16,84.0000,2
272,-20.0000,0.7385,2.7877,28,84.0000,1
273,9.9000,0.7376,2.6822,19,84.0000,2
274,-1.9000,0.7368,2.3282,17,84.0000,1
275,-9.8000,0.7360,2.9560,16,84.0000,2
276,1.9000,0.7348,2.8026,24,84.0000,3
277,3.8000,0.7336,2.9120,24,84.0000,2
278,7.7000,0.7326,2.9166,21,84.0000,2
279,4.7000,0.7313,2.5682,26,84.0000,2
280,7.6000,0.7302,3.0156,22,84.0000,2
281,-9.5000,0.7298,2.7825,8,84.0000,3
282,16.6000,0.7287,2.5979,21,84.0000,3
283,17.9000,0.7278,2.5409,19,84.0000,3
284,6.9000,0.7264,2.7455,29,84.0000,3
285,9.6000,0.7253,2.3083,21,84.0000,3
286,-11.6000,0.7246,2.8765,14,84.0000,1
287,-8.7000,0.7231,2.4075,30,84.0000,1
288,-14.3000,0.7224,2.6889,16,84.0000,2
289,-8.8000,0.7221,3.1975,6,84.0000,1
290,4.5000,0.7209,2.5051,23,84.0000,3
291,-14.3000,0.7186,2.8073,46,84.0000,1
292,1.3000,0.7179,2.3426,15,84.0000,2
293,-8.4000,0.7176,2.1737,7,84.0000,2
294,-11.4000,0.7167,2.6189,17,84.0000,1
295,-5.8000,0.7157,2.6916,21,84.0000,2
296,-11.9000,0.7148,2.4659,17,84.0000,2
297,-13.2000,0.7144,2.5821,9,84.0000,1
298,-0.4000,0.7135,2.9897,17,84.0000,3
299,8.4000,0.7119,2.7685,34,84.0000,3
300,-11.4000,0.7108,3.1124,22,84.0000,1
301,-16.6000,0.7091,2.7372,34,84.0000,1
302,21.2000,0.7083,2.8740,16,84.0000,3
303,2.7000,0.7080,2.9995,6,84.0000,2
304,8.7000,0.7072,2.8246,16,84.0000,3
305,1.7000,0.7067,3.0254,11,84.0000,2
306,199.6000,0.7046,2.6070,42,199.6000,7
307,-18.4000,0.7035,2.1646,22,199.6000,2
308,-3.4000,0.7027,2.7012,17,199.6000,3
309,12.5000,0.7020,3.3557,13,199.6000,2
310,12.4000,0.7013,3.1860,14,199.6000,2
311,-8.5000,0.6994,2.5595,38,199.6000,1
312,42.7000,0.6979,2.5279,31,199.6000,5
313,-4.8000,0.6966,2.3504,26,199.6000,2
314,10.7000,0.6958,2.2504,16,199.6000,3
315,-3.3000,0.6951,2.0931,15,199.6000,1
316,-10.4000,0.6945,2.4213,12,199.6000,1
317,0.6000,0.6936,2.4435,17,199.6000,1
318,52.8000,0.6912,2.1573,50,199.6000,4
319,-7.2000,0.6902,2.2347,20,199.6000,2
320,2.1000,0.6896,2.3000,12,199.6000,2
321,-15.8000,0.6885,2.5813,21,199.6000,2
322,-2.2000,0.6876,2.9846,20,199.6000,1
323,11.2000,0.6868,2.0759,16,199.6000,3
324,15.9000,0.6853,2.0764,29,199.6000,2
325,-20.5000,0.6849,2.2579,8,199.6000,1
326,-7.5000,0.6835,2.4145,28,199.6000,1
327,-11.2000,0.6831,2.7405,10,199.6000,2
328,-12.2000,0.6816,2.2314,30,199.6000,1
329,5.8000,0.6803,2.4053,25,199.6000,2
330,12.7000,0.6798,2.3643,11,199.6000,2
331,-9.5000,0.6791,2.7168,13,199.6000,2
332,0.6000,0.6785,2.5127,12,199.6000,2
333,-1.2000,0.6776,2.6926,20,199.6000,2
334,18.6000,0.6765,2.3330,22,199.6000,3
335,-12.8000,0.6757,2.5486,16,199.6000,1
336,2.5000,0.6753,2.2183,8,199.6000,3
337,5.2000,0.6742,2.5265,21,199.6000,2
338,2.1000,0.6729,2.4044,27,199.6000,2
339,1.9000,0.6725,2.9932,9,199.6000,2
340,13.4000,0.6710,2.8173,29,199.6000,2
341,-1.0000,0.6701,2.3707,18,199.6000,1
342,-2.8000,0.6691,2.2495,21,199.6000,1
343,7.7000,0.6671,2.7284,41,199.6000,3
344,-17.0000,0.6657,2.3194,28,199.6000,2
345,-18.0000,0.6643,2.0861,28,199.6000,2
346,-9.4000,0.6637,1.9025,12,199.6000,2
347,-14.0000,0.6628,2.5537,18,199.6000,2
348,73.7000,0.6620,1.8498,16,199.6000,5
349,-21.5000,0.6616,3.0102,8,199.6000,1
350,-15.0000,0.6605,2.9113,23,199.6000,1
351,7.4000,0.6595,2.0365,19,199.6000,2
352,-9.1000,0.6591,2.4526,9,199.6000,1
353,1.6000,0.6578,2.5767,27,199.6000,2
354,-10.5000,0.6564,2.3176,28,199.6000,2
355,-9.9000,0.6555,2.4126,17,199.6000,2
356,-5.0000,0.6546,2.2494,18,199.6000,2
357,-0.6000,0.6527,2.9109,39,199.6000,2
358,13.9000,0.6513,3.0072,29,199.6000,3
359,12.8000,0.6508,3.2087,10,199.6000,2
360,0.3000,0.6503,3.1433,10,199.6000,3
361,-10.8000,0.6495,3.0731,16,199.6000,2
362,21.4000,0.6488,3.3680,14,199.6000,3
363,53.4000,0.6479,2.9389,19,199.6000,5
364,0.9000,0.6475,2.3567,8,199.6000,2
365,-19.8000,0.6462,3.0655,26,199.6000,1
366,80.5000,0.6438,2.5923,48,199.6000,5
367,-19.6000,0.6434,3.3623,9,199.6000,2
368,-16.9000,0.6418,2.8092,32,199.6000,1
369,18.6000,0.6407,3.1064,22,199.6000,3
370,10.4000,0.6397,2.4268,19,199.6000,2
371,-3.9000,0.6384,2.9633,27,199.6000,2
372,-2.3000,0.6374,3.0221,21,199.6000,2
373,-1.1000,0.6357,2.6735,34,199.6000,2
374,9.5000,0.6348,2.7612,18,199.6000,3
375,1.2000,0.6333,3.2294,31,199.6000,2
376,-11.0000,0.6326,2.6999,13,199.6000,3
377,-15.3000,0.6318,3.1402,16,199.6000,2
378,-0.2000,0.6311,2.9219,15,199.6000,2
379,-8.7000,0.6286,2.7495,50,199.6000,2
380,-20.4000,0.6278,3.0854,17,199.6000,2
381,4.0000,0.6264,2.4894,28,199.6000,3
382,-12.3000,0.6256,3.2808,16,199.6000,1
383,11.8000,0.6248,2.6232,15,199.6000,2
384,-7.1000,0.6227,2.6810,44,199.6000,3
385,8.8000,0.6219,2.6152,15,199.6000,2
386,-7.4000,0.6206,2.6476,27,199.6000,2
387,16.8000,0.6196,2.9719,20,199.6000,3
388,-6.0000,0.6187,3.1769,18,199.6000,3
389,58.7000,0.6159,2.9230,56,199.6000,4
390,-7.1000,0.6147,2.9445,24,199.6000,2
391,-12.5000,0.6141,2.6176,12,199.6000,1
392,11.7000,0.6137,2.9203,10,199.6000,2
393,-10.9000,0.6131,2.5994,12,199.6000,2
394,39.9000,0.6119,2.5337,24,199.6000,5
395,4.7000,0.6106,2.5733,26,199.6000,2
396,2.2000,0.6100,2.4490,11,199.6000,2
397,-13.6000,0.6081,2.7786,39,199.6000,1
398,-10.2000,0.6066,2.5442,30,199.6000,1
399,-17.3000,0.6053,2.3666,26,199.6000,1
400,-12.2000,0.6036,2.8003,35,199.6000,3
401,-16.1000,0.6017,3.1216,39,199.6000,2
402,-3.2000,0.6009,3.0260,15,199.6000,1
403,-1.6000,0.6002,3.0677,14,199.6000,2
404,0.9000,0.5995,3.1269,14,199.6000,1
405,6.3000,0.5983,2.9688,25,199.6000,2
406,-8.2000,0.5971,3.4279,25,199.6000,2
407,4.9000,0.5954,2.7901,34,199.6000,3
408,26.9000,0.5940,2.7998,29,199.6000,3
409,5.3000,0.5930,3.1963,20,199.6000,2
410,-12.9000,0.5921,2.9340,17,199.6000,2
411,-5.2000,0.5912,2.9283,19,199.6000,1
412,-3.0000,0.5893,2.7419,38,199.6000,3
413,3.1000,0.5882,3.0918,22,199.6000,2
414,-0.0000,0.5871,2.9001,22,199.6000,2
415,6.1000,0.5858,2.7802,27,199.6000,2
416,-8.3000,0.5842,3.4424,31,199.6000,2
417,1.5000,0.5839,3.0761,7,199.6000,1
418,1.6000,0.5823,2.8722,32,199.6000,2
419,-23.5000,0.5814,2.6681,18,199.6000,1
420,9.5000,0.5805,2.6643,18,199.6000,2
421,-6.1000,0.5793,2.3644,24,199.6000,1
422,51.0000,0.5770,3.1384,48,199.6000,5
423,10.4000,0.5763,2.3196,14,199.6000,2
424,-8.6000,0.5751,2.6902,24,199.6000,2
425,-8.9000,0.5745,3.2804,12,199.6000,1
426,75.2000,0.5732,2.9067,26,199.6000,7
427,-1.9000,0.5724,3.6600,17,199.6000,2
428,8.0000,0.5715,3.0318,18,199.6000,3
429,6.2000,0.5694,3.2433,41,199.6000,3
430,16.9000,0.5685,2.8503,19,199.6000,3
431,-5.2000,0.5673,2.8688,25,199.6000,1
432,47.2000,0.5662,2.8053,21,199.6000,5
433,3.1000,0.5651,2.7956,22,199.6000,2
434,82.4000,0.5635,3.0117,34,199.6000,5
435,-8.5000,0.5623,2.9868,23,199.6000,2
436,10.3000,0.5616,3.1333,15,199.6000,2
437,30.4000,0.5592,2.7483,49,199.6000,5
438,-7.8000,0.5576,3.0100,31,199.6000,1
439,11.4000,0.5569,2.5472,14,199.6000,2
440,2.0000,0.5558,2.5930,23,199.6000,2
441,-9.7000,0.5553,2.7810,10,199.6000,1
442,-8.0000,0.5542,3.4577,23,199.6000,1
443,1.4000,0.5530,3.9900,24,199.6000,2
444,-11.9000,0.5516,3.0487,27,199.6000,1
445,18.9000,0.5507,2.7827,19,199.6000,2
446,8.2000,0.5499,3.1195,16,199.6000,2
447,39.3000,0.5489,3.0865,20,199.6000,4
448,-4.9000,0.5481,3.6989,17,199.6000,2
449,-3.6000,0.5471,2.9586,19,199.6000,2
450,8.5000,0.5452,3.4507,38,199.6000,3
451,9.9000,0.5443,3.1556,19,199.6000,2
452,9.8000,0.5433,2.9563,20,199.6000,3
453,10.7000,0.5413,3.4045,41,199.6000,3
454,-16.6000,0.5403,3.5656,19,199.6000,2
455,-9.1000,0.5399,3.3212,9,199.6000,1
456,-5.0000,0.5390,2.6657,18,199.6000,2
457,0.1000,0.5382,2.7157,17,199.6000,2
458,-12.7000,0.5364,3.2903,35,199.6000,2
459,2.3000,0.5359,3.6500,10,199.6000,2
460,1.5000,0.5356,3.0341,7,199.6000,1
461,5.3000,0.5344,3.0507,25,199.6000,2
462,-10.0000,0.5330,3.4148,28,199.6000,2
463,-1.5000,0.5321,2.7668,18,199.6000,3
464,-6.4000,0.5310,3.2202,22,199.6000,1
465,-6.0000,0.5298,2.9368,23,199.6000,2
466,-2.2000,0.5281,3.0830,35,199.6000,2
467,4.8000,0.5261,3.2644,40,199.6000,3
468,-11.6000,0.5254,2.8025,14,199.6000,2
469,-30.2000,0.5235,3.0547,40,199.6000,1
470,76.6000,0.5224,2.9660,22,199.6000,5
471,51.5000,0.5190,3.1320,68,199.6000,5
472,57.5000,0.5171,3.4500,38,199.6000,6
473,-15.4000,0.5163,3.4666,17,199.6000,1
474,-10.8000,0.5157,2.5661,11,199.6000,1
475,-2.8000,0.5149,3.3719,16,199.6000,2
476,3.8000,0.5140,2.7946,20,199.6000,3
477,6.8000,0.5132,3.4716,15,199.6000,2
478,9.2000,0.5124,2.9428,16,199.6000,2
479,73.0000,0.5108,2.9911,33,199.6000,5
480,-12.5000,0.5101,2.4713,13,199.6000,1
481,-7.2000,0.5092,3.0897,20,199.6000,1
482,8.0000,0.5083,2.9114,18,199.6000,2
483,19.2000,0.5075,2.7411,16,199.6000,3
484,-9.4000,0.5064,3.4903,22,199.6000,1
485,58.8000,0.5047,3.2237,35,199.6000,5
486,54.2000,0.5039,4.6153,16,199.6000,4
487,-13.5000,0.5032,3.1778,13,199.6000,1
488,-4.9000,0.5021,3.4068,22,199.6000,2
489,-13.1000,0.5004,3.5052,34,199.6000,2
490,-10.2000,0.4992,3.2540,25,199.6000,1
491,57.3000,0.4980,3.4025,25,199.6000,5
492,29.1000,0.4961,3.1776,37,199.6000,3
493,16.6000,0.4953,3.5533,17,199.6000,3
494,-9.8000,0.4935,2.7107,36,199.6000,2
495,-10.9000,0.4919,3.1267,32,199.6000,2
496,-3.0000,0.4905,3.1640,28,199.6000,3
497,46.1000,0.4890,3.5411,32,199.6000,5
498,-19.8000,0.4887,3.8355,6,199.6000,2
499,-9.4000,0.4873,3.1202,27,199.6000,1
500,-21.4000,0.4870,2.8048,7,199.6000,1
501,0.1000,0.4856,3.2625,27,199.6000,2
502,-24.8000,0.4844,3.6132,26,199.6000,1
503,-2.4000,0.4833,3.4641,22,199.6000,2
504,5.0000,0.4821,3.3211,23,199.6000,3
505,-19.6000,0.4809,3.5475,24,199.6000,2
506,23.4000,0.4793,3.3581,34,199.6000,3
507,1.4000,0.4778,3.2351,29,199.6000,2
508,3.4000,0.4766,3.6919,24,199.6000,2
509,-2.3000,0.4751,3.3960,31,199.6000,2
510,-4.5000,0.4742,3.4986,18,199.6000,1
511,-4.4000,0.4731,3.2216,22,199.6000,2
512,41.3000,0.4719,2.6678,25,199.6000,4
513,8.2000,0.4711,3.2215,16,199.6000,2
514,-4.1000,0.4699,3.9545,24,199.6000,2
515,22.2000,0.4694,2.7977,11,199.6000,3
516,6.8000,0.4674,3.0306,40,199.6000,3
517,-1.2000,0.4666,3.2525,15,199.6000,3
518,-6.0000,0.4657,3.2554,18,199.6000,2
519,12.3000,0.4650,3.1368,15,199.6000,2
520,52.8000,0.4633,3.2546,35,199.6000,6
521,-5.6000,0.4623,3.0984,19,199.6000,2
522,-5.1000,0.4606,3.9857,34,199.6000,3
523,-12.4000,0.4593,3.6793,27,199.6000,2
